index,first glance theme?,theme
8,Y,一方
16,Y,十一月
18,Y,一丸
19,Y,一日
26,Y,不一
27,Y,一人
29,Y,一也
35,Y,一切
40,Y,為一率
47,Y,水一中
49,Y,一般
50,Y,一卷
59,N,
60,Y,内一秒
62,Y,一等
64,Y,一員
69,Y,一名
70,Y,一劑
71,Y,一夕
75,Y,一合
82,N,
86,Y,一字
87,Y,一毫
89,Y,Something verbal
90,Y,一處
104,Y,Larger numbers
116,Y,一也
143,Y,一名
151,N,
190,Y,十一分
217,Y,内一秒
225,Y,Body parts
230,Y,一陽
239,Y,之一[事端]
247,Y,一升
302,Y,十一閏
315,Y,十一曰
318,Y,書一洋
328,N,"Before preposition / particle (於, 而, …)"
342,Y,十一
358,Y,Large numbers
376,Y,一曲
385,Y,一卷
391,Y,一路
399,Y,無一息
407,Y,一[寸尺]
436,Y,非一日
459,Y,一[丈尺]
500,Y,Before official title
531,Y,百一十
588,Y,一聨
613,Y,一[爻卦]
626,Y,一物
655,Y,一易
662,Y,一萬
664,Y,一[孔竅]
678,Y,Before brush movement
722,Y,Same passage
729,Y,混一
731,Y,一變
775,Y,一見
805,Y,一簞食
845,Y,一級
846,Y,一[意義...]
851,Y,[為係]一
852,Y,一夜
854,Y,Before nouns
875,Y,一人
890,Y,一[隂陽]
905,Y,第一百
926,Y,千一百
936,N,
937,Y,天一
963,Y,Before noun
971,Y,"一administrative region (國, 鄉, 州)"
1459,N,
1603,Y,其一
1614,Y,Larger numbers
1914,Y,一度
1976,Y,中元一白
2083,Y,杖一頓
2665,Y,其一
3126,Y,一肉
3354,Y,立一[鄰里黨]
3602,Y,Before unit of time
3754,Y,After unit of time
3928,N,
3980,N,
4434,Y,Before verb
4563,Y,一 x 一 y
4952,Y,一死
5346,Y,Before noun
6312,Y,一歩
6702,N,
8142,Y,Before verb of movement
8249,N,
8432,Y,Before noun
8996,Y,無一[真實]
9066,Y,得一其
10176,N,
